[ |2021-10-07 06:33:07.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:34:25.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:34:25.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:36:12.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:36:12.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:36:12.000000| ]0
[ |2021-10-07 06:36:33.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:36:33.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:36:33.000000| ]0
[ |2021-10-07 06:38:07.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:38:07.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:38:09.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.] 
[ |2021-10-07 06:38:32.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:38:32.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:38:34.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.] 
[ |2021-10-07 06:40:10.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:40:10.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:40:12.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [2002] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.] 
[ |2021-10-07 06:49:33.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:49:33.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:49:33.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [1049] Unknown database acopadelsaber_prueba] 
[ |2021-10-07 06:49:36.000000| ][C:\xampp\htdocs\RankingUsuarios\Controller\ctrlRankingUsuarios.php] [GetJornada] 
[ |2021-10-07 06:49:36.000000| ][modelRankingUsuarios::GetJornada] Jornada[1]
[ |2021-10-07 06:49:36.000000| ][CConexion::GetConectionDataBase] ERR Abrir Conexion [SQLSTATE[HY000] [1049] Unknown database acopadelsaber_prueba] 
